ID,Deformation(mm)_mean,Deformation(mm)_std,Deformation(mm)_skew,Deformation(mm)_kurt,Deformation(mm)_last,Deformation(mm)_diff,Force applied (N)_mean,Force applied (N)_std,Force applied (N)_skew,Force applied (N)_kurt,Force applied (N)_last,Force applied (N)_diff,label
"PLA_0,3_II_4",0.13510593356820003,0.08150965232375892,-0.006720684853985529,-1.2062508055098102,0.275518,0.275518,14.976838399999998,2.011497705382853,-0.019420705547550994,-1.1650122187204768,18.3915,6.856900000000001,100.146
"PLA_0,3_II_4",0.14073968612326926,0.08475994424628291,-0.005882801643872789,-1.2037590641106237,0.286848,0.286848,15.123465000000001,2.104867239855977,0.005181696969816201,-1.137369427932405,18.6772,7.1426,100.146
"PLA_0,3_II_4",0.14637304960018518,0.08800978327700225,-0.005208146583325905,-1.2019972648317843,0.297882,0.297882,15.261037777777778,2.1818413845001934,-0.0007359473725471476,-1.1545702228707666,18.7821,7.2475000000000005,100.146
"PLA_0,3_II_4",0.15200674068589284,0.09126044159636197,-0.004613464729784721,-1.2006888885787879,0.308899,0.308899,15.394509642857143,2.2524681058880462,-0.013944013682542465,-1.175789985091332,19.1566,7.622000000000002,100.146
"PLA_0,3_II_4",0.15764089790362068,0.09451234864438833,-0.004049674887202426,-1.1996310297926491,0.320877,0.320877,15.539463448275864,2.3431074136448253,0.003829330134348761,-1.1539309314598163,19.9771,8.4425,100.146
"PLA_0,3_II_4",0.16328649797349998,0.09778348438104711,-0.002937118503292172,-1.198092212948819,0.33219,0.33219,15.674237333333334,2.41632566187182,-0.004475748991695458,-1.16735628170611,19.6122,8.077600000000002,100.146
"PLA_0,3_II_4",0.1689327948130645,0.10105444487504966,-0.002036981606056089,-1.197137226739543,0.343182,0.343182,15.820881290322578,2.5097030364506976,0.01456143115173938,-1.1450857705991608,20.4264,8.891800000000002,100.146
"PLA_0,3_II_4",0.17456054810015625,0.10429331940714018,-0.002286833077610155,-1.1977908205873475,0.354183,0.354183,15.9686665625,2.604192883401074,0.031235959312686155,-1.130045927749126,20.6588,9.1242,100.146
"PLA_0,3_II_4",0.1801913830062121,0.10753847910624907,-0.0022831003217692928,-1.1979871828673896,0.365881,0.365881,16.122752727272726,2.708924659227244,0.057681335865537746,-1.1036115844209249,21.3318,9.797200000000002,100.146
"PLA_0,3_II_4",0.18584010115308822,0.11081401778260906,-0.0013875020867884743,-1.1970480296928274,0.377228,0.377228,16.274409411764708,2.8078794485221907,0.0716764201600924,-1.0990619271541318,21.6386,10.104000000000001,100.146
